target_population_id,jurisdiction_code,estimand_role,cell_id,age_min_inclusive,age_max_exclusive,household_income_band,household_type,gaming_state,payer_history_state,target_mass_numerator,target_mass_denominator
standardized.person.2024.be.calibration,BE,CALIBRATION,cell.000,10,18,income.low,household.with-minor,GAMER,EVER_PAYER,89,10000
standardized.person.2024.be.calibration,BE,CALIBRATION,cell.001,10,18,income.low,household.with-minor,GAMER,NEVER_PAYER,207,10000
standardized.person.2024.be.calibration,BE,CALIBRATION,cell.002,10,18,income.low,household.with-minor,NON_GAMER,EVER_PAYER,3,10000
standardized.person.2024.be.calibration,BE,CALIBRATION,cell.003,10,18,income.low,household.with-minor,NON_GAMER,NEVER_PAYER,27,5000
standardized.person.2024.be.calibration,BE,CALIBRATION,cell.004,10,18,income.low,household.one-person,GAMER,EVER_PAYER,0,1
standardized.person.2024.be.calibration,BE,CALIBRATION,cell.005,10,18,income.low,household.one-person,GAMER,NEVER_PAYER,0,1
standardized.person.2024.be.calibration,BE,CALIBRATION,cell.006,10,18,income.low,household.one-person,NON_GAMER,EVER_PAYER,0,1
standardized.person.2024.be.calibration,BE,CALIBRATION,cell.007,10,18,income.low,household.one-person,NON_GAMER,NEVER_PAYER,0,1
standardized.person.2024.be.calibration,BE,CALIBRATION,cell.008,10,18,income.low,household.multi-no-minor,GAMER,EVER_PAYER,0,1
standardized.person.2024.be.calibration,BE,CALIBRATION,cell.009,10,18,income.low,household.multi-no-minor,GAMER,NEVER_PAYER,0,1
standardized.person.2024.be.calibration,BE,CALIBRATION,cell.010,10,18,income.low,household.multi-no-minor,NON_GAMER,EVER_PAYER,0,1
standardized.person.2024.be.calibration,BE,CALIBRATION,cell.011,10,18,income.low,household.multi-no-minor,NON_GAMER,NEVER_PAYER,0,1
standardized.person.2024.be.calibration,BE,CALIBRATION,cell.012,10,18,income.middle,household.with-minor,GAMER,EVER_PAYER,137,10000
standardized.person.2024.be.calibration,BE,CALIBRATION,cell.013,10,18,income.middle,household.with-minor,GAMER,NEVER_PAYER,233,10000
standardized.person.2024.be.calibration,BE,CALIBRATION,cell.014,10,18,income.middle,household.with-minor,NON_GAMER,EVER_PAYER,1,2000
standardized.person.2024.be.calibration,BE,CALIBRATION,cell.015,10,18,income.middle,household.with-minor,NON_GAMER,NEVER_PAYER,33,5000
standardized.person.2024.be.calibration,BE,CALIBRATION,cell.016,10,18,income.middle,household.one-person,GAMER,EVER_PAYER,0,1
standardized.person.2024.be.calibration,BE,CALIBRATION,cell.017,10,18,income.middle,household.one-person,GAMER,NEVER_PAYER,0,1
standardized.person.2024.be.calibration,BE,CALIBRATION,cell.018,10,18,income.middle,household.one-person,NON_GAMER,EVER_PAYER,0,1
standardized.person.2024.be.calibration,BE,CALIBRATION,cell.019,10,18,income.middle,household.one-person,NON_GAMER,NEVER_PAYER,0,1
standardized.person.2024.be.calibration,BE,CALIBRATION,cell.020,10,18,income.middle,household.multi-no-minor,GAMER,EVER_PAYER,0,1
standardized.person.2024.be.calibration,BE,CALIBRATION,cell.021,10,18,income.middle,household.multi-no-minor,GAMER,NEVER_PAYER,0,1
standardized.person.2024.be.calibration,BE,CALIBRATION,cell.022,10,18,income.middle,household.multi-no-minor,NON_GAMER,EVER_PAYER,0,1
standardized.person.2024.be.calibration,BE,CALIBRATION,cell.023,10,18,income.middle,household.multi-no-minor,NON_GAMER,NEVER_PAYER,0,1
standardized.person.2024.be.calibration,BE,CALIBRATION,cell.024,10,18,income.high,household.with-minor,GAMER,EVER_PAYER,57,5000
standardized.person.2024.be.calibration,BE,CALIBRATION,cell.025,10,18,income.high,household.with-minor,GAMER,NEVER_PAYER,29,2000
standardized.person.2024.be.calibration,BE,CALIBRATION,cell.026,10,18,income.high,household.with-minor,NON_GAMER,EVER_PAYER,1,2500
standardized.person.2024.be.calibration,BE,CALIBRATION,cell.027,10,18,income.high,household.with-minor,NON_GAMER,NEVER_PAYER,9,2000
standardized.person.2024.be.calibration,BE,CALIBRATION,cell.028,10,18,income.high,household.one-person,GAMER,EVER_PAYER,0,1
standardized.person.2024.be.calibration,BE,CALIBRATION,cell.029,10,18,income.high,household.one-person,GAMER,NEVER_PAYER,0,1
standardized.person.2024.be.calibration,BE,CALIBRATION,cell.030,10,18,income.high,household.one-person,NON_GAMER,EVER_PAYER,0,1
standardized.person.2024.be.calibration,BE,CALIBRATION,cell.031,10,18,income.high,household.one-person,NON_GAMER,NEVER_PAYER,0,1
standardized.person.2024.be.calibration,BE,CALIBRATION,cell.032,10,18,income.high,household.multi-no-minor,GAMER,EVER_PAYER,0,1
standardized.person.2024.be.calibration,BE,CALIBRATION,cell.033,10,18,income.high,household.multi-no-minor,GAMER,NEVER_PAYER,0,1
