age_band,age_min_inclusive,age_max_inclusive,sex,population_count,adult_population_weight,source_id,estimand_role
18-24,18,24,FEMALE,2821237,0.067396020987474,ons_population_mid_2024,CALIBRATION
18-24,18,24,MALE,2970284,0.070956577842542,ons_population_mid_2024,CALIBRATION
25-34,25,34,FEMALE,4754911,0.113589209821640,ons_population_mid_2024,CALIBRATION
25-34,25,34,MALE,4590686,0.109666068466742,ons_population_mid_2024,CALIBRATION
35-44,35,44,FEMALE,4805400,0.114795332420924,ons_population_mid_2024,CALIBRATION
35-44,35,44,MALE,4499492,0.107487551476524,ons_population_mid_2024,CALIBRATION
45-54,45,54,FEMALE,4343516,0.103761468992301,ons_population_mid_2024,CALIBRATION
45-54,45,54,MALE,4169961,0.099615444953029,ons_population_mid_2024,CALIBRATION
55-64,55,64,FEMALE,4554117,0.108792478232568,ons_population_mid_2024,CALIBRATION
55-64,55,64,MALE,4350983,0.103939846806257,ons_population_mid_2024,CALIBRATION
