target_population_id,jurisdiction_code,estimand_role,cell_id,age_min_inclusive,age_max_exclusive,household_income_band,household_type,gaming_state,payer_history_state,target_mass_numerator,target_mass_denominator
be.fixture.calibration,BE,CALIBRATION,cell.00,10,70,income.all,household.all,GAMER,EVER_PAYER,1,4
be.fixture.calibration,BE,CALIBRATION,cell.01,10,70,income.all,household.all,GAMER,NEVER_PAYER,1,4
be.fixture.calibration,BE,CALIBRATION,cell.02,10,70,income.all,household.all,NON_GAMER,EVER_PAYER,1,4
be.fixture.calibration,BE,CALIBRATION,cell.03,10,70,income.all,household.all,NON_GAMER,NEVER_PAYER,1,4
be.fixture.validation,BE,VALIDATION,cell.00,10,70,income.all,household.all,GAMER,EVER_PAYER,1,4
be.fixture.validation,BE,VALIDATION,cell.01,10,70,income.all,household.all,GAMER,NEVER_PAYER,1,4
be.fixture.validation,BE,VALIDATION,cell.02,10,70,income.all,household.all,NON_GAMER,EVER_PAYER,1,4
be.fixture.validation,BE,VALIDATION,cell.03,10,70,income.all,household.all,NON_GAMER,NEVER_PAYER,1,4
jp.fixture.calibration,JP,CALIBRATION,cell.00,10,70,income.all,household.all,GAMER,EVER_PAYER,1,4
jp.fixture.calibration,JP,CALIBRATION,cell.01,10,70,income.all,household.all,GAMER,NEVER_PAYER,1,4
jp.fixture.calibration,JP,CALIBRATION,cell.02,10,70,income.all,household.all,NON_GAMER,EVER_PAYER,1,4
jp.fixture.calibration,JP,CALIBRATION,cell.03,10,70,income.all,household.all,NON_GAMER,NEVER_PAYER,1,4
jp.fixture.validation,JP,VALIDATION,cell.00,10,70,income.all,household.all,GAMER,EVER_PAYER,1,4
jp.fixture.validation,JP,VALIDATION,cell.01,10,70,income.all,household.all,GAMER,NEVER_PAYER,1,4
jp.fixture.validation,JP,VALIDATION,cell.02,10,70,income.all,household.all,NON_GAMER,EVER_PAYER,1,4
jp.fixture.validation,JP,VALIDATION,cell.03,10,70,income.all,household.all,NON_GAMER,NEVER_PAYER,1,4
kr.fixture.calibration,KR,CALIBRATION,cell.00,10,70,income.all,household.all,GAMER,EVER_PAYER,1,4
kr.fixture.calibration,KR,CALIBRATION,cell.01,10,70,income.all,household.all,GAMER,NEVER_PAYER,1,4
kr.fixture.calibration,KR,CALIBRATION,cell.02,10,70,income.all,household.all,NON_GAMER,EVER_PAYER,1,4
kr.fixture.calibration,KR,CALIBRATION,cell.03,10,70,income.all,household.all,NON_GAMER,NEVER_PAYER,1,4
kr.fixture.validation,KR,VALIDATION,cell.00,10,70,income.all,household.all,GAMER,EVER_PAYER,1,4
kr.fixture.validation,KR,VALIDATION,cell.01,10,70,income.all,household.all,GAMER,NEVER_PAYER,1,4
kr.fixture.validation,KR,VALIDATION,cell.02,10,70,income.all,household.all,NON_GAMER,EVER_PAYER,1,4
kr.fixture.validation,KR,VALIDATION,cell.03,10,70,income.all,household.all,NON_GAMER,NEVER_PAYER,1,4
uk.fixture.calibration,UK,CALIBRATION,cell.00,10,70,income.all,household.all,GAMER,EVER_PAYER,1,4
uk.fixture.calibration,UK,CALIBRATION,cell.01,10,70,income.all,household.all,GAMER,NEVER_PAYER,1,4
uk.fixture.calibration,UK,CALIBRATION,cell.02,10,70,income.all,household.all,NON_GAMER,EVER_PAYER,1,4
uk.fixture.calibration,UK,CALIBRATION,cell.03,10,70,income.all,household.all,NON_GAMER,NEVER_PAYER,1,4
uk.fixture.validation,UK,VALIDATION,cell.00,10,70,income.all,household.all,GAMER,EVER_PAYER,1,4
uk.fixture.validation,UK,VALIDATION,cell.01,10,70,income.all,household.all,GAMER,NEVER_PAYER,1,4
uk.fixture.validation,UK,VALIDATION,cell.02,10,70,income.all,household.all,NON_GAMER,EVER_PAYER,1,4
uk.fixture.validation,UK,VALIDATION,cell.03,10,70,income.all,household.all,NON_GAMER,NEVER_PAYER,1,4
